taxon,genus,endemism_category,esa_status,nv_state_status,blm_status,usfs_status,natureserve_grank,book_thematic_category,notes,physiographic_region,physiographic_section
Physaria pendula,Physaria,endemic,,,BLM Special Status,,G2,Valley Bottoms and Adjacent Foothills,Lincoln/Nye/White Pine cos; Egan to Pahranagat ranges; Tonopah & Calcareous Mts sections; light colored clay/silt/sand/gravels 1591-2075m,Central Great Basin,Calcareous Mountains Section
Polemonium nevadense,Polemonium,endemic,,,,,G1,One Mountain Range,Santa Rosa Range only; Humboldt Co; Lake section NGB; Hinkey Summit area; SW-facing volcanic & E-facing granitic cliffs 2500-2884m; only 3 collections,Northern Great Basin,Lake Section
Porophyllum pygmaeum,Porophyllum,endemic,,,,,G2,Foothills,Desert & Sheep ranges; Clark Co; Desert NWR; East Mts section Mojave; dry rocky carbonate soils alluvial fans 1355-1920m,Mojave Desert,East Mountains Section
Potentilla hookeriana var. charletii,Potentilla,endemic,,,,,G4,One Mountain Range,South Snake Range only; White Pine Co; Wheeler Peak area & Bald Mtn; quartzite talus open alpine fellfields; 3475-3524m,Central Great Basin,Calcareous Mountains Section
Potentilla johnstonii,Potentilla,endemic,,,,Forest Service Region 4 Sensitive,G1,One Mountain Range,Quinn Canyon Range only; Nye Co; Cherry Creek Summit; loamy to humic soil N-facing rocky slopes; 2286-2499m,Central Great Basin,Calcareous Mountains Section
Primula capillaris,Primula,endemic,,,,Forest Service Region 4 Sensitive,G1,One Mountain Range,Ruby Mts only; Elko Co; Central section; N & W-facing glacial cirques; moist seasonally saturated loamy soils glacial till; 2713-3050m,Central Great Basin,Central Section
Primula nevadensis,Primula,endemic,,,,Forest Service Region 4 Sensitive,G2,Two or Few Mountain Ranges,Snake Range (south) & Grant Range; Nye & White Pine cos; Calcareous Mts section; limestone substrates; cliff crevices/talus/shallow caves 2585-3536m,Central Great Basin,Calcareous Mountains Section
Psorothamnus kingii,Psorothamnus,endemic,,,BLM Special Status,,G3,Deep Loose Sand,Churchill & Humboldt cos; Lahontan section; active dunes/interdune flats; Winnemucca dunes/Hot Springs Mts/Blowsand Mtn; 1219-1524m,Central Great Basin,Lahontan Section
Ranunculus legerae,Ranunculus,endemic,,,BLM Sensitive,,,Foothills,Adobe Range; Elko Co; 2 adjacent hilly areas NW of Elko; moist loamy clay N/E/S exposures low hills; Nevada's most recent endemic addition,Central Great Basin,Central Section
Salvia dorrii var. clokeyi,Salvia,endemic,,,BLM Special Status,,G5,Spring Mountains,Spring Mts & Sheep Range; Clark Co; gravelly to rocky soils ridges/slopes/drainages; limestone 2134-2987m,Mojave Desert,East Mountains Section
Sclerocactus nyensis,Sclerocactus,endemic,,Protected,BLM Sensitive,,G1,Foothills,Esmeralda & Nye cos; Tonopah section; southern Big Smoky Valley & San Antonio Mts; rhyolite/tuff/basalt/limestone rocky soils 1500-1700m; NRS 527; poaching threat,Central Great Basin,Central Section
Silene clokeyi,Silene,endemic,,,,Forest Service Region 4 Sensitive,G1,Spring Mountains,Spring Mts Clark Co; moist soils/spring areas/snow depressions/avalanche chutes; 2560-3633m,Mojave Desert,East Mountains Section
Sonnea glomerata,Sonnea,endemic,,,BLM Sensitive,Forest Service Region 4 Sensitive,G2,Charismatic Edaphic Moderate Elevations,Carson City/Storey/Washoe cos; Sierra Nevada region & Reno section; co-occurs with Eriogonum robustum; hydrothermal andesite 1311-2027m,Central Great Basin,Reno Section
Sphaeralcea caespitosa var. williamsiae,Sphaeralcea,endemic,,,BLM Sensitive,Forest Service Region 4 Sensitive,G2,Valley Bottoms,Nye Co only; Central & Tonopah sections; Railroad Valley to Sand Spring Valley; gravelly alluvium/sandy clay 1454-1632m; only Malvaceae endemic,Central Great Basin,Calcareous Mountains Section
Sphaeromeria compacta,Sphaeromeria,endemic,,,,Forest Service Region 4 Sensitive,G2,Spring Mountains,Spring Mts Clark Co; drier soils open screes talus; 2652-3633m; above treeline,Mojave Desert,East Mountains Section
Spiranthes infernalis,Spiranthes,endemic,,,BLM Special Status,,G2,Ash Meadows,Ash Meadows; permanently to seasonally wet alkaline meadows near spring outflows 610-670m; only Orchidaceae endemic to NV; no federal/state protection,Mojave Desert,Amargosa Section
Synthyris ranunculina,Synthyris,endemic,,,,Forest Service Region 4 Sensitive,G1,Spring Mountains,Spring Mts Clark Co; moist soils spring/seep areas/drainage bottoms/snow depressions; 2652-3633m,Mojave Desert,East Mountains Section
Toiyabea alpina,Toiyabea,endemic,,,,Forest Service Region 4 Sensitive,G2,Two or Few Mountain Ranges,Toiyabe/Toquima/Hot Creek ranges; Lander & Nye cos; coarse sand/gravel igneous boulders/limestone/siliceous ash flow tuffs; 3048-3377m; only species in monotypic genus,Central Great Basin,Central Section
Tonestus graniticus,Tonestus,endemic,,,BLM Sensitive,,G1,Two or Few Mountain Ranges,Lone Mountain (primary) & Silver Peak Range; Esmeralda Co; Tonopah section; granitic pluton & volcanic rock; narrow canyons N-facing outcrops; 2058-2372m; discovered Silver Peak Range 2023,Central Great Basin,Tonopah Section
Trifolium andinum var. podocephalum,Trifolium,endemic,,,BLM Sensitive,Forest Service Region 4 Sensitive,G3,Two or Few Mountain Ranges,Horse Range/Schell Creek Range/Delamar Mts; Lincoln/Nye/White Pine cos; Calcareous Mts & Tonopah sections; rock crevices volcanic/carbonate 2100-2256m,Central Great Basin,Calcareous Mountains Section
Trifolium rollinsii,Trifolium,endemic,,,,Forest Service Region 4 Sensitive,G2,One Mountain Range,Toiyabe Range only; Lander & Nye cos; Central section; range spine north of Toiyabe Range Peak to South Toiyabe Peak; siliceous metamorphic talus 3018-3127m; ~30km extent,Central Great Basin,Central Section
Sarcobatus baileyi,Sarcobatus,near-endemic,,,,,,Near-endemic Broadly Distributed,10 western & central counties; dominates Lahontan salt desert shrublands & Tonopah Basin foothills; just enters CA Mono Co Fish Lake Valley; 1200-2012m,Central Great Basin,Tonopah Section
Astragalus kentrophyta var. ungulatus,Astragalus,near-endemic,,,,,,Near-endemic Broadly Distributed,7 counties; Lake section NGB + Reno/Central/Calcareous Mts/Bonneville sections CGB; enters CA Mono Basin 0.5km from state line; edaphic white clay/ash; 1372-2152m,Central Great Basin / Northern Great Basin,Reno-Central-Calcareous Mts-Bonneville Sections / Lake Section
Physaria cordiformis,Physaria,near-endemic,,,,,,Near-endemic Broadly Distributed,Churchill/Elko/Esmeralda/Eureka/Lander/Mineral/Nye cos + Owyhee Uplands; also CA Clark & Grapevine Mts/Inyo Mts; and ID Cassia Co; 1524-3364m,Northern Great Basin,Owyhee Uplands Section
Tripterocalyx crux-maltae,Tripterocalyx,near-endemic,,,,,,Near-endemic Broadly Distributed,11 counties; Reno/Lahontan/Tonopah sections; Winnemucca dunes to Carson Sink to Walker Lake; enters CA Honey Lake Valley ~10km; psammophyte; 991-1707m,Central Great Basin,Reno Section
Orcuttia nevadensis,Orcuttia,near-endemic,,,,,,Near-endemic Broadly Distributed,7 counties; Lahontan & Tonopah basins; stabilized sand dunes/washes; enters CA Owens Valley Inyo Co ~60km disjunct; 1161-1814m,Central Great Basin,Tonopah Section
Lepidium montanum var. nevadense,Lepidium,near-endemic,,,BLM Sensitive,,,Near-endemic Restricted,Near Denio; Humboldt Co; Lake section NGB; continues ~6km into Harney Co OR; silty/sandy valley floors & dunes; 1265-1524m; ~40km extent,Northern Great Basin,Lake Section
Potentilla basaltica,Potentilla,near-endemic,,,BLM Sensitive,,G2,Near-endemic Restricted,Soldier Meadows & Calico Mts; Humboldt Co; Lake section NGB; disjunct site Modoc Co CA ~135km west; moist alkaline flat meadows; 1370-1404m,Northern Great Basin,Lake Section
Ivesia webberi,Ivesia,near-endemic,Threatened,Critically Endangered,BLM Sensitive,Threatened (ESA),G2,Near-endemic Restricted,Douglas & Washoe cos + Sierra Nevada region; Peavine Mtn/Carson Range/Pyramid Lake/Pine Nut Mts; enters CA Seven Lakes Mtn/Sierra Valley/Dog Valley 1.6-18km; 1399-2286m,Sierra Nevada,Sierra Nevada Region
Erythranthe carsonensis,Erythranthe,near-endemic,Under Review,,BLM Sensitive,,G2,Near-endemic Restricted,Carson City/Douglas/Lyon/Washoe cos; Reno section; Washoe/Eagle/Carson valleys + Pine Nut Mts foothills; enters CA Bodie Hills ~200m; coarse sandy granitic alluvium; 1402-1739m,Central Great Basin,Reno Section
Astragalus oophorus var. lavinii,Astragalus,near-endemic,,,BLM Sensitive,Forest Service Region 4 Sensitive,G4,Near-endemic Restricted,Carson City/Douglas/Lyon cos; Reno section + adjacent Sierra Nevada; Pine Nut Mts/Nevada Hill/Wellington Hills/Pine Grove Hills/Sweetwater Mts/Bodie Hills; enters CA ~8km Masonic Mtn; 1396-2393m,Sierra Nevada,Sierra Nevada Region
Eremothera nevadensis,Eremothera,near-endemic,,,BLM Sensitive,,G3,Near-endemic Restricted,Carson City/Churchill/Douglas/Lyon/Pershing/Storey/Washoe cos; Reno & Lahontan sections; Nightingale Mts to Virginia Range/Pine Nut Mts; enters CA Bodie Hills ~200m; alkaline/sandy; 1219-2134m,Central Great Basin,Reno Section
Eriogonum alexanderae,Eriogonum,near-endemic,,,BLM Sensitive,Forest Service Region 5 Sensitive/Watch,G5,Near-endemic Restricted,Douglas/Lyon/Mineral/Washoe cos; Reno & Tonopah sections; Hungry Range to Pine Nut Mts/East Walker River/Wassuk Range; enters CA Bodie Hills ~200m; light-colored barren clay slopes; 1427-2164m,Central Great Basin,Reno Section
Polyctenium williamsiae,Polyctenium,near-endemic,Protected,Protected,BLM Sensitive,Forest Service Region 4 Sensitive,G2,Near-endemic Restricted,Lyon/Mineral/Nye/Washoe cos; Reno & Tonopah sections; Virginia Range to Kawich Range; enters CA Mono Co Larkin Lake; barren sandy/clayey/muddy seasonal lake margins; 1341-2720m,Central Great Basin,Reno Section
Nevada holmgrenii,Nevada,near-endemic,,,BLM Sensitive,,G3,Near-endemic Restricted,Lander/Nye cos (Central section primary) + Humboldt/Pershing (Lahontan) + Elko/White Pine (Ruby Mts); disjunct ID ~420km; rock crevices/outcrops/cliffs/ridges; 2195-3506m,Central Great Basin / Northern Great Basin,Central Section / Owyhee Uplands & Lahontan Sections
Eriogonum ovalifolium var. caelestinum,Eriogonum,near-endemic,,,,,G5,Near-endemic Restricted,Toiyabe & Toquima ranges; Lander & Nye cos; Central section; disjunct pops in CA Sierra Nevada Mono Co (Dunderberg Peak/Mammoth Lakes); granitic/metavolcanic; 1890-3566m,Central Great Basin,Central Section
Penstemon barnebyi,Penstemon,near-endemic,,,,,,Near-endemic Restricted,Elko/White Pine/Nye/Lincoln cos; Central/Calcareous Mts sections; Cedar Ridge to Pahranagat Range; also Mineral & Esmeralda cos; enters CA White Mts ~0.5km; PJ woodlands; 1524-2484m,Central Great Basin,Tonopah Section
Lepidium nanum,Lepidium,near-endemic,,,,,G3,Near-endemic Restricted,Elko/Eureka/Lincoln/Nye/White Pine cos; Central & Calcareous Mts sections; Goose Creek to Monitor Valley; enters UT Tooele Co; semi-barren alkaline clay tuffaceous knolls; 1524-2195m,Central Great Basin,Central Section
Draba pedicellata var. pedicellata,Draba,near-endemic,,,,,G3,Near-endemic Restricted,Elko/Eureka/Nye/White Pine cos; Central & Calcareous Mts sections; 17 eastern NV mountain ranges; enters UT Deep Creek Mts ~10km; limestone/dolomite/quartzite; 2039-3499m,Central Great Basin,Central / Calcareous Mountains Sections
Draba pennellii,Draba,near-endemic,,,BLM Special Status,Forest Service Region 4 Sensitive,G2,Near-endemic Restricted,Elko & White Pine cos; Central & Calcareous Mts sections; East Humboldt to Snake Range; enters UT Deep Creek Mts ~13km; limestone/quartzite/volcanic; 1860-3848m,Central Great Basin,Calcareous Mountains Section
Potentilla holmgrenii,Potentilla,near-endemic,,,,,G2,Near-endemic Restricted,Schell Creek Range & Snake Range (Mt Moriah/The Table/Wheeler Peak/Bald Mtn); White Pine Co; enters UT Deep Creek Mts Juab Co ~66km; alpine turf/fellfields; 2895-3622m,Central Great Basin,Calcareous Mountains Section
Frasera gypsicola,Frasera,near-endemic,,Protected,BLM Sensitive,,G2,Near-endemic Restricted,White River Valley; Nye & White Pine cos; Calcareous Mts section; enters UT Millard Co ~2km from NV border; open alkaline silty-clay calcareous barren flats; state protected,Central Great Basin,Calcareous Mountains Section
Astragalus lentiginosus var. sesquimetralis,Astragalus,near-endemic,Under Review,Protected,BLM Sensitive,,G5,Near-endemic Restricted,Esmeralda/Mineral/Nye cos; Tonopah section & Amargosa Mojave; alkaline playas/flats; enters CA Inyo Co Death Valley ~6km; moist salt-encrusted soils; 951-1420m,Central Great Basin,Tonopah Section
Lewisia maguirei,Lewisia,near-endemic,,,BLM Sensitive,Forest Service Region 4 Sensitive,G2,Near-endemic Restricted,White Pine/Nye/Lincoln/Clark cos; Calcareous Mts/Tonopah/East Mts sections; enters UT Millard Co Tunnel Springs Mts ~26km; steep slopes/ridgelines carbonate gravel/scree; 1860-2362m,Central Great Basin,Tonopah Section
Lathyrus hitchcockianus,Lathyrus,near-endemic,,,BLM Sensitive,,G2,Near-endemic Restricted,Nye Co + Inyo Co CA; Amargosa section Mojave; Grapevine Mts/Bullfrog Hills/Yucca Mtn; enters CA Fall Canyon only ~200m; rocky drainage bottoms/canyon washes; 1067-1951m,Mojave Desert,Amargosa Section
Astragalus geyeri var. triquetrus,Astragalus,near-endemic,Under Review,Protected,BLM Sensitive,,G4,Near-endemic Restricted,Clark & Lincoln cos; Colorado River section Mojave; Dry Lake Valley/Valley of Fire/Lake Mead/Moapa Valley/Mormon Mesa; enters AZ Mohave Co ~2km; sand/gravels; 335-854m,Mojave Desert,Colorado River Section
Penstemon bicolor,Penstemon,near-endemic,,,,,,Near-endemic Restricted,Clark Co; East Mts & Colorado River sections Mojave; Spring Mts/Pahrump east to Desert NWR & Lake Mead; enters CA Castle Mts ~8km; enters AZ ~20km; calcareous/igneous soils; 259-1591m,Mojave Desert,East Mountains Section
Ivesia jaegeri,Ivesia,near-endemic,,,BLM Sensitive,Forest Service Region 4 Sensitive,G2,Near-endemic Restricted,Spring Mts Clark Co (primary) + Clark Mts CA San Bernardino Co ~20km from NV; East Mts section Mojave; shaded crevices/ridges vertical limestone; 1585-3633m,Mojave Desert,East Mountains Section
Eriogonum viscidulum,Eriogonum,near-endemic,,Protected,BLM Sensitive,,G2,Near-endemic Restricted,Clark Co; Colorado River section Mojave; Mesquite/Moapa Valley/Mormon Mesa/Gold Butte; enters AZ Mohave Co ~2km; sandy/clay flats/slopes Larrea shrublands; 375-745m,Mojave Desert,Colorado River Section
Arctomecon californica,Arctomecon,near-endemic,,Protected,BLM Sensitive,,G1,Near-endemic Restricted,Las Vegas Valley east to Lake Mead NRA; Clark Co; also AZ canyon of Colorado River ~20km; dry shale badlands hummocky high gypsum soil; 323-1110m; pollinator specialist Mojave poppy bee; declining,Mojave Desert,Colorado River Section
Grindelia fraxinipratensis,Grindelia,near-endemic,Threatened,Protected,BLM Sensitive,,G2,Ash Meadows,Ash Meadows Nye Co (primary) + immediately adjacent Inyo Co CA; saturated meadows/edges of standing water/moist alkaline swales; 626-701m,Mojave Desert,Amargosa Section
Arctomecon merriamii,Arctomecon,near-endemic,,,BLM Sensitive,,G3,Near-endemic Restricted,Clark Co (central) + CA Inyo & San Bernardino cos; broad distribution wide variety soils; 577-1798m,Mojave Desert,East Mountains Section
Chloropyron tecopense,Chloropyron,near-endemic,Under Review,,BLM Sensitive,,G2,Near-endemic Restricted,Gap Spring Fish Lake Valley Esmeralda Co (higher elevations 1417-1439m) + west of Ash Meadows CA Carson Slough + Tecopa Inyo Co CA (lower 421-764m); moist alkaline seeps/flats,Central Great Basin,Tonopah Section
Anelsonia eurycarpa,Anelsonia,disjunct,,,,,G4,Disjunct,NW Washoe Co (Little High Rock Reservoir); ~286km NNE from nearest CA occurrence; ~513km SW from Idaho; specialized soils 1600m,Northern Great Basin,Lake Section
Aphyllon pinorum,Aphyllon,disjunct,,,,,G4,Disjunct,White Pine Range; White Pine Co; ~496km SE of nearest OR occurrence (Steens Mtn); ~1070km WNW from NM,Central Great Basin,Calcareous Mountains Section
Astragalus cimae var. cimae,Astragalus,disjunct,,,BLM Sensitive,,G3,Disjunct,Wassuk Range Mineral Co & south Monitor Range Nye Co; ~205km from nearest CA occurrence Inyo Mts; two NV locations ~180km apart,Central Great Basin,Reno Section
Astragalus gilmanii,Astragalus,disjunct,,,BLM Sensitive,,G2,Disjunct,Groom Range; Lincoln Co; ~184km from nearest CA occurrence Panamint Mts Inyo Co,Central Great Basin,Tonopah Section
Astragalus inyoensis,Astragalus,disjunct,,,,Forest Service Region 5 Sensitive/Watch,G3,Disjunct,Groom Range; Lincoln Co; ~171km from nearest CA occurrence Last Chance Mts Inyo Co,Central Great Basin,Tonopah Section
Astragalus megacarpus,Astragalus,disjunct,,,,,,Disjunct,Adobe Range/Elko Hills/Cedar Ridge/Pinon Range; SW Elko & adj N Eureka cos; ~225km from nearest UT occurrence Millard Co; low juniper bluffs/knolls,Central Great Basin,Central / Bonneville Sections
Boechera tiehmii,Boechera,disjunct,,,,Forest Service Region 4 Sensitive,G3,Disjunct,Mt Rose Carson Range; Washoe Co (type locality); ~154km NNW from nearest CA occurrence Virginia Lakes Basin Mono Co; Sierra Nevada endemic,Sierra Nevada,Sierra Nevada Region
Cyperus aristulatus,Cyperus,disjunct,,,,,,Disjunct,Lower Lehman Creek; White Pine Co; ~420km ESE from nearest CA site Big Pine Inyo Co,Central Great Basin,Calcareous Mountains Section
Draba brachystylis,Draba,disjunct,,,,Forest Service Region 4 Sensitive,G1,Disjunct,Spring Mts; Clark Co; ~492km SW from nearest UT occurrence San Pitch Mts Juab Co; possibly undescribed species,Mojave Desert,East Mountains Section
Erigeron multiceps,Erigeron,disjunct,,,California BLM Sensitive,Forest Service Region 5 Sensitive/Watch,G2,Disjunct,Bridge Mtn Spring Mts; Clark Co; ~236km E from nearest CA occurrence Kennedy Meadows Sierra Nevada Tulare Co,Mojave Desert,East Mountains Section
Eriogonum mensicola,Eriogonum,disjunct,,,California BLM Sensitive,Forest Service Region 5 Sensitive/Watch,G3,Disjunct,Sheep Range; Clark Co; ~174km E from nearest CA occurrence Panamint Mts Inyo Co,Mojave Desert,East Mountains Section
Gentianella tortuosa,Gentianella,disjunct,,,,,G3,Disjunct,Spring Mts (Charleston Mts); Clark Co; ~308km SSW from nearest UT occurrence Markagunt Plateau,Mojave Desert,East Mountains Section
Lepidium integrifolium,Lepidium,disjunct,,,BLM Sensitive,,G2,Disjunct,Railroad Valley; Nye Co; ~213km from nearest UT occurrence Thermo Hot Springs Beaver Co,Central Great Basin,Tonopah Section
Limonium californicum,Limonium,disjunct,,,,,G4,Disjunct,Near Las Vegas; Clark Co; ~374km NE from nearest CA sites Los Angeles area; also Gila Co AZ,Mojave Desert,Colorado River Section
Lythrum californicum,Lythrum,disjunct,,,,,,Disjunct,Clark/Nye/Humboldt cos; Humboldt Co sites Black Rock Desert ~442km N from nearest CA sites Bishop Inyo Co,Northern Great Basin,Lake Section
Mentzelia mollis,Mentzelia,disjunct,,,BLM Sensitive,,G2,Disjunct,Black Rock Range; Humboldt Co; ~289km SSW from nearest OR occurrence Malheur Co,Northern Great Basin,Lake Section
Musineon divaricatum,Musineon,disjunct,,,,,,Disjunct,White Pine & Eureka cos (long known) + recently Butte & Independence valleys Elko Co; ~386km W from nearest WY occurrence,Central Great Basin / Northern Great Basin,Central / Bonneville Sections / Owyhee Uplands Section
Oreocarya bakeri,Oreocarya,disjunct,,,,,,Disjunct,Tippett Canyon Kern Mts; White Pine Co; ~251km SE from nearest UT occurrence SE of Circleville Garfield Co,Central Great Basin,Calcareous Mountains Section
Parthenium ligulatum,Parthenium,disjunct,,,BLM Sensitive,,G3,Disjunct,Fish Creek Range; Eureka Co; ~404km just north of west from nearest UT occurrence Teasdale Wayne Co; found 2001,Central Great Basin,Central Section
Phacelia inconspicua,Phacelia,disjunct,,Protected,BLM Sensitive,Forest Service Region 4 Sensitive,G2,Disjunct,Humboldt Range & Eugene Mts; Pershing Co (~30km apart); ~478km NE from nearest ID occurrence Pioneer Mts Butte Co; state protected,Central Great Basin,Lahontan Section
Pilostyles thurberi,Pilostyles,disjunct,,,,,G5,Disjunct,Nevada National Security Site west side Frenchman Flat; Nye Co; ~370km N from nearest CA occurrence Borrego Valley San Diego Co,Central Great Basin,Tonopah Section
Primula incana,Primula,disjunct,,,,,G5,Disjunct,North end Butte Valley; Elko Co; ~394km ENE from nearest WY occurrence Uinta Co; ~370km SE from nearest UT occurrence Bryce Canyon Garfield Co,Central Great Basin,Bonneville Section
Ribes oxyacanthoides var. hendersonii,Ribes,disjunct,,,,,,Disjunct,Toiyabe Range; Lander & Nye cos; ~546km just west of due south from nearest ID occurrence Pioneer Mts Custer Co,Central Great Basin,Central Section
Sphaeromeria argentea,Sphaeromeria,disjunct,,,,,G3,Disjunct,4 widely scattered locations; Elko/Nye/White Pine cos; ~452km ENE from nearest WY occurrence Fort Bridger Uinta Co,Central Great Basin,Calcareous Mountains / Bonneville Sections
Spiranthes diluvialis,Spiranthes,disjunct,Threatened,Critically Endangered,BLM Sensitive,,G2,Disjunct,Near Panaca; Lincoln Co; ~207km E to nearest UT occurrence Garfield Co; widely scattered CO/ID/MT/NE/NV/UT/WA/WY,Central Great Basin,Calcareous Mountains Section
Stipa shoshoneana,Stipa,disjunct,,,,,,Disjunct,Belted Range; Nye Co; ~761km SSW from nearest ID occurrence NE Butte Co ID,Central Great Basin,Tonopah Section
Telesonix heucheriformis,Telesonix,disjunct,,,,,G4,Disjunct,Spring Mts; Clark Co; ~729km SSW from nearest UT occurrence Bear River Range Cache Co,Mojave Desert,East Mountains Section
Toxicodendron diversilobum,Toxicodendron,disjunct,,,,,,Disjunct,Virginia Mts west side Pyramid Lake; Washoe Co; ~137km E from nearest CA site Dutch Flat area Nevada Co,Central Great Basin,Reno Section
Woodwardia fimbriata,Woodwardia,disjunct,,,,,,Disjunct,Spring Mts; Clark Co; ~197km E from nearest CA site Greenhorn Mts Kern Co,Mojave Desert,East Mountains Section
Carex petasata,Carex,listed,,,,Forest Service Region 5 Sensitive/Watch,,,NDNH endemism status: Not Evaluated,,
Penstemon albomarginatus,Penstemon,listed,Under Review,,BLM Sensitive,,G1,,Common name: white margined beardtongue,,
Viola lithion,Viola,listed,,,BLM Sensitive,Forest Service Region 4 Sensitive,G1,,NDNH endemism status: Not Evaluated; Common name: rock violet,,
Cirsium mohavense,Cirsium,listed,,,BLM Sensitive,,G3,,NDNH endemism status: Not Evaluated; Common name: Mojave thistle,,
Acmispon argyraeus var. multicaulis,Acmispon,listed,,,BLM Sensitive,,G4,,NDNH endemism status: Not Evaluated; Common name: scrub lotus,,
Townsendia jonesii var. tumulosa,Townsendia,endemic,,,BLM Special Status,Forest Service Region 4 Sensitive,,,Common name: Charleston grounddaisy,,
Glossopetalon pungens var. glabrum,Glossopetalon,listed,,,BLM Sensitive,Forest Service Region 4 Sensitive,,,NDNH endemism status: Not Evaluated; Common name: smooth dwarf greasebush,,
Senecio pattersonensis,Senecio,listed,,,,Forest Service Region 4 Sensitive,G3,,NDNH endemism status: Not Evaluated; Common name: Mono ragwort,,
Trifolium leibergii,Trifolium,listed,,,,Forest Service Region 4 Sensitive,G3,,NDNH endemism status: Not Evaluated; Common name: Leiberg clover,,
Tetradymia tetrameres,Tetradymia,listed,,,,Forest Service Region 5 Sensitive/Watch,,,NDNH endemism status: Not Evaluated; Common name: dune horsebrush,,
Calochortus striatus,Calochortus,listed,,,BLM Sensitive,,G3,,NDNH endemism status: Not Evaluated; Common name: alkali mariposa lily,,
Sclerocactus blainei,Sclerocactus,listed,,"Protected (cactus, yucca, or Christmas tree)",BLM Sensitive,,G1,,Common name: Blaine pincushion,,
Crepis runcinata var. hallii,Crepis,listed,,,,Forest Service Region 5 Sensitive/Watch,G5,,NDNH endemism status: Not Evaluated; Common name: Halls meadow hawksbeard,,
Polemonium chartaceum,Polemonium,listed,,,,Forest Service Region 4 Sensitive,G2,,NDNH endemism status: Not Evaluated; Common name: White Mountains skypilot,,
Sphaeromeria potentilloides var. nitrophila,Sphaeromeria,listed,,,,Forest Service Region 5 Sensitive/Watch,G3,,NDNH endemism status: Not Evaluated; Common name: alkali tansy-sage,,
Piptatherum micranthum,Piptatherum,listed,,,,Forest Service Region 5 Sensitive/Watch,,,NDNH endemism status: Not Evaluated,,
Pinus albicaulis,Pinus,listed,Threatened,,BLM Sensitive,Forest Service Region 5 Sensitive/Watch,G3,,NDNH endemism status: Not Evaluated; Common name: whitebark pine,,
Boechera pinzliae,Boechera,listed,,,,Forest Service Region 5 Sensitive/Watch,G1,,Common name: Pinzl rockcress,,
Antennaria arcuata,Antennaria,listed,,,BLM Sensitive,Forest Service Region 4 Sensitive,G3,,NDNH endemism status: Not Evaluated; Common name: meadow pussytoes,,
Carex scirpoidea ssp. pseudoscirpoidea,Carex,listed,,,,Forest Service Region 5 Sensitive/Watch,,,NDNH endemism status: Not Evaluated,,
Poa abbreviata var. marshii,Poa,listed,,,,Forest Service Region 4 Sensitive,G5,,NDNH endemism status: Not Evaluated; Common name: Marsh bluegrass,,
Enceliopsis argophylla,Enceliopsis,listed,,,BLM Sensitive,,G3,,NDNH endemism status: Not Evaluated; Common name: silverleaf sunray,,
Eriogonum crosbyae var. crosbyae,Eriogonum,listed,,,BLM Sensitive,,G4,,NDNH endemism status: Not Evaluated; Common name: Crosby buckwheat,,
Boechera rigidissima var. 1,Boechera,listed,,,,Forest Service Region 4 Sensitive,G3,,Common name: Galena Creek rockcress,,
Astragalus callithrix,Astragalus,listed,,,BLM Sensitive,,G3,,NDNH endemism status: Not Evaluated; Common name: Callaway milkvetch,,
Astragalus geyeri var. geyeri,Astragalus,listed,,,BLM Special Status,,,,NDNH endemism status: Not Evaluated,,
Astragalus convallarius var. margaretiae,Astragalus,endemic,,,BLM Sensitive,,G5,Foothills Mid-slopes,Common name: Margarets Rushy milkvetch,Central Great Basin,Reno Section
Galium hilendiae ssp. kingstonense,Galium,listed,,,California BLM Sensitive,,G4,,NDNH endemism status: Not Evaluated; Common name: Kingston Mountains bedstraw,,
Carex media,Carex,listed,,,,Forest Service Region 5 Proposed Sensitive/Watch,,,NDNH endemism status: Not Evaluated,,
Horkelia hispidula,Horkelia,listed,,,,Forest Service Region 5 Sensitive/Watch,G3,,Common name: White Mountains horkelia,,
Lomatium packardiae,Lomatium,listed,,,BLM Sensitive,,G2,,Common name: Succor Creek parsley,,
Stenotus lanuginosus,Stenotus,listed,,,BLM Special Status,,G5,,NDNH endemism status: Not Evaluated; Common name: wooly stenotus,,
Astragalus pseudiodanthus,Astragalus,listed,,,BLM Sensitive,,G3,,NDNH endemism status: Not Evaluated; Common name: Tonopah milkvetch,,
Oenothera cavernae,Oenothera,listed,,,BLM Sensitive,,G2,,Common name: Gypsum Cave evening primrose,,
Phacelia mustelina,Phacelia,listed,,,California BLM Sensitive,,G3,,NDNH endemism status: Not Evaluated; Common name: weasel phacelia,,
Sclerocactus schlesseri,Sclerocactus,near-endemic,,"Protected (cactus, yucca, or Christmas tree)",BLM Sensitive,,G1,,Common name: Schlesser pincushion,,
Eriogonum prociduum,Eriogonum,listed,,,BLM Special Status,,G3,,NDNH endemism status: Not Evaluated; Common name: prostrate buckwheat,,
Eriogonum corymbosum var. nilesii,Eriogonum,listed,,,BLM Sensitive,,G5,,NDNH endemism status: Not Evaluated; Common name: Las Vegas buckwheat,,
Cylindropuntia multigeniculata,Cylindropuntia,listed,,Critically Endangered,BLM Sensitive,,G2,,Common name: Blue Diamond cholla,,
Sphenopholis obtusata,Sphenopholis,listed,,,,Forest Service Region 5 Sensitive/Watch,,,NDNH endemism status: Not Evaluated; Common name: prairie wedgegrass,,
